station,start_time,end_time,peak_level_cm,peak_time,duration_min,avg_gradient_cm_min,points_count
Herzogstraße_merged_export,2026-01-26T13:14:00Z,2026-01-26T13:35:00Z,17.5,2026-01-26T13:14:00Z,21,175,44
Herzogstraße_merged_export,2026-01-26T07:45:00Z,2026-01-26T10:47:00Z,13.1,2026-01-26T08:11:00Z,182,0.502,366
Herzogstraße_merged_export,2026-01-25T13:55:00Z,2026-01-25T17:26:00Z,11.9,2026-01-25T13:55:00Z,211,119,424
Herzogstraße_merged_export,2026-01-25T09:06:00Z,2026-01-25T10:06:00Z,6.2,2026-01-25T09:06:00Z,60,62,122
An_der_Kost_merged_export,2026-01-25T06:19:00Z,2026-01-25T06:19:00Z,11.6,2026-01-25T06:19:00Z,0,116,2
Herzogstraße_merged_export,2026-01-24T18:04:00Z,2026-01-24T20:34:00Z,11.3,2026-01-24T18:04:00Z,150,113,302
Herzogstraße_merged_export,2026-01-24T13:35:00Z,2026-01-24T15:49:00Z,13.9,2026-01-24T14:05:00Z,134,0.462,234
Herzogstraße_merged_export,2026-01-24T05:46:00Z,2026-01-24T08:01:00Z,6.1,2026-01-24T05:46:00Z,135,61,272
Herzogstraße_merged_export,2026-01-23T17:40:00Z,2026-01-23T19:16:00Z,12.2,2026-01-23T17:40:00Z,96,122,194
Herzogstraße_merged_export,2026-01-23T13:31:00Z,2026-01-23T13:45:00Z,4.2,2026-01-23T13:31:00Z,14,42,30
Herzogstraße_merged_export,2026-01-23T11:06:00Z,2026-01-23T11:39:00Z,12.1,2026-01-23T11:06:00Z,33,121,68
Herzogstraße_merged_export,2026-01-23T08:45:00Z,2026-01-23T09:06:00Z,9.7,2026-01-23T08:45:00Z,21,97,44
An_der_Kost_merged_export,2026-01-23T07:37:00Z,2026-01-23T07:37:00Z,16.4,2026-01-23T07:37:00Z,0,164,2
An_der_Kost_merged_export,2026-01-23T06:08:00Z,2026-01-23T06:08:00Z,16.2,2026-01-23T06:08:00Z,0,162,2
Herzogstraße_merged_export,2026-01-23T06:03:00Z,2026-01-23T06:44:00Z,8.9,2026-01-23T06:03:00Z,41,89,84
Herzogstraße_merged_export,2026-01-22T19:46:00Z,2026-01-22T21:04:00Z,9.4,2026-01-22T19:46:00Z,78,94,158
Herzogstraße_merged_export,2026-01-22T17:11:00Z,2026-01-22T18:58:00Z,25.7,2026-01-22T17:11:00Z,107,257,216
Herzogstraße_merged_export,2026-01-22T14:27:00Z,2026-01-22T15:16:00Z,16.9,2026-01-22T14:27:00Z,49,169,100
Herzogstraße_merged_export,2026-01-22T13:49:00Z,2026-01-22T14:03:00Z,12.7,2026-01-22T13:49:00Z,14,127,30
An_der_Kost_merged_export,2026-01-22T12:45:00Z,2026-01-22T12:45:00Z,15.4,2026-01-22T12:45:00Z,0,154,2
Herzogstraße_merged_export,2026-01-22T11:57:00Z,2026-01-22T12:25:00Z,9.5,2026-01-22T11:57:00Z,28,95,36
Herzogstraße_merged_export,2026-01-22T10:26:00Z,2026-01-22T11:35:00Z,8,2026-01-22T10:26:00Z,69,80,140
Königsallee_Springorum_merged_export,2026-01-22T07:23:00Z,2026-01-22T07:23:00Z,2.3,2026-01-22T07:23:00Z,0,23,2
An_der_Kost_merged_export,2026-01-22T03:26:00Z,2026-01-22T03:26:00Z,1.9,2026-01-22T03:26:00Z,0,19,2
Herzogstraße_merged_export,2026-01-21T19:36:00Z,2026-01-21T23:59:00Z,4.6,2026-01-21T19:36:00Z,263,46,528
Wasserstraße_Springorum_merged_export,2026-01-21T19:13:00Z,2026-01-21T19:13:00Z,5.1,2026-01-21T19:13:00Z,0,51,2
Wasserstraße_Springorum_merged_export,2026-01-21T15:00:00Z,2026-01-21T15:00:00Z,4.4,2026-01-21T15:00:00Z,0,44,2
Herzogstraße_merged_export,2026-01-21T13:12:00Z,2026-01-21T15:34:00Z,18,2026-01-21T13:12:00Z,142,180,238
An_der_Kost_merged_export,2026-01-21T11:50:00Z,2026-01-21T11:50:00Z,15.3,2026-01-21T11:50:00Z,0,153,2
Herzogstraße_merged_export,2026-01-21T10:25:00Z,2026-01-21T10:33:00Z,16.8,2026-01-21T10:25:00Z,8,168,18
Wasserstraße_Springorum_merged_export,2026-01-21T08:24:00Z,2026-01-21T08:33:00Z,5.2,2026-01-21T08:33:00Z,9,0.571,4
Herzogstraße_merged_export,2026-01-21T05:57:00Z,2026-01-21T06:23:00Z,16.8,2026-01-21T05:57:00Z,26,168,54
Wasserstraße_Springorum_merged_export,2026-01-21T04:47:00Z,2026-01-21T04:47:00Z,5.5,2026-01-21T04:47:00Z,0,55,2
Wasserstraße_Springorum_merged_export,2026-01-20T22:14:00Z,2026-01-20T22:14:00Z,5,2026-01-20T22:14:00Z,0,50,2
Wasserstraße_Springorum_merged_export,2026-01-20T18:50:00Z,2026-01-20T18:50:00Z,4.6,2026-01-20T18:50:00Z,0,46,2
Herzogstraße_merged_export,2026-01-20T18:43:00Z,2026-01-21T05:03:00Z,10.1,2026-01-20T18:43:00Z,620,101,1242
Wasserstraße_Springorum_merged_export,2026-01-20T17:45:00Z,2026-01-20T17:45:00Z,5.4,2026-01-20T17:45:00Z,0,54,2
Wasserstraße_Springorum_merged_export,2026-01-20T15:59:00Z,2026-01-20T15:59:00Z,4.9,2026-01-20T15:59:00Z,0,49,2
Herzogstraße_merged_export,2026-01-20T14:45:00Z,2026-01-20T14:56:00Z,12.5,2026-01-20T14:45:00Z,11,125,24
Wasserstraße_Springorum_merged_export,2026-01-20T12:36:00Z,2026-01-20T12:36:00Z,1.7,2026-01-20T12:36:00Z,0,17,2
Herzogstraße_merged_export,2026-01-20T12:19:00Z,2026-01-20T13:32:00Z,2.9,2026-01-20T12:19:00Z,73,29,148
Herzogstraße_merged_export,2026-01-20T11:16:00Z,2026-01-20T11:22:00Z,21,2026-01-20T11:16:00Z,6,210,14
Wasserstraße_Springorum_merged_export,2026-01-20T11:12:00Z,2026-01-20T11:12:00Z,5.2,2026-01-20T11:12:00Z,0,52,2
Herzogstraße_merged_export,2026-01-20T10:40:00Z,2026-01-20T10:50:00Z,8.9,2026-01-20T10:40:00Z,10,89,22
Wasserstraße_Springorum_merged_export,2026-01-20T08:16:00Z,2026-01-20T08:16:00Z,5.9,2026-01-20T08:16:00Z,0,59,2
Herzogstraße_merged_export,2026-01-20T07:14:00Z,2026-01-20T08:13:00Z,20.2,2026-01-20T07:14:00Z,59,202,120
Wasserstraße_Springorum_merged_export,2026-01-20T07:03:00Z,2026-01-20T07:03:00Z,4.7,2026-01-20T07:03:00Z,0,47,2
Herzogstraße_merged_export,2026-01-20T06:13:00Z,2026-01-20T06:33:00Z,12.4,2026-01-20T06:13:00Z,20,124,42
Herzogstraße_merged_export,2026-01-19T15:43:00Z,2026-01-19T20:05:00Z,20.9,2026-01-19T16:25:00Z,262,0.496,526
Herzogstraße_merged_export,2026-01-19T10:15:00Z,2026-01-19T11:39:00Z,22.3,2026-01-19T10:31:00Z,84,1.385,85
Wasserstraße_Springorum_merged_export,2026-01-19T09:06:00Z,2026-01-19T09:06:00Z,3.1,2026-01-19T09:06:00Z,0,31,1
Herzogstraße_merged_export,2026-01-19T08:10:00Z,2026-01-19T09:03:00Z,7.4,2026-01-19T08:10:00Z,53,74,54
Herzogstraße_merged_export,2026-01-19T06:50:00Z,2026-01-19T06:58:00Z,14,2026-01-19T06:50:00Z,8,140,9
Wasserstraße_Springorum_merged_export,2026-01-18T13:01:00Z,2026-01-18T13:01:00Z,4.6,2026-01-18T13:01:00Z,0,46,1
Herzogstraße_merged_export,2026-01-18T03:43:00Z,2026-01-18T11:49:00Z,20.6,2026-01-18T03:43:00Z,486,206,487
Herzogstraße_merged_export,2026-01-17T16:09:00Z,2026-01-17T16:30:00Z,11.8,2026-01-17T16:09:00Z,21,118,22
Herzogstraße_merged_export,2026-01-17T14:10:00Z,2026-01-17T15:40:00Z,13.7,2026-01-17T14:10:00Z,90,137,91
Herzogstraße_merged_export,2026-01-17T13:30:00Z,2026-01-17T13:43:00Z,15.1,2026-01-17T13:30:00Z,13,151,14
Herzogstraße_merged_export,2026-01-17T11:10:00Z,2026-01-17T12:28:00Z,21,2026-01-17T11:26:00Z,78,1.304,79
Herzogstraße_merged_export,2026-01-17T10:07:00Z,2026-01-17T10:29:00Z,6.7,2026-01-17T10:07:00Z,22,67,23
Herzogstraße_merged_export,2026-01-17T08:24:00Z,2026-01-17T09:14:00Z,4.1,2026-01-17T08:24:00Z,50,41,51
Herzogstraße_merged_export,2026-01-17T03:41:00Z,2026-01-17T05:12:00Z,17.7,2026-01-17T03:41:00Z,91,177,92
Herzogstraße_merged_export,2026-01-16T20:07:00Z,2026-01-17T00:00:00Z,12,2026-01-16T20:07:00Z,233,120,234
Herzogstraße_merged_export,2026-01-16T17:31:00Z,2026-01-16T18:13:00Z,23.7,2026-01-16T18:02:00Z,42,0.762,43
Herzogstraße_merged_export,2026-01-16T15:45:00Z,2026-01-16T16:52:00Z,25.2,2026-01-16T15:45:00Z,67,252,68
Herzogstraße_merged_export,2026-01-16T13:18:00Z,2026-01-16T15:01:00Z,19.1,2026-01-16T14:10:00Z,103,0.367,104
Wasserstraße_Springorum_merged_export,2026-01-16T12:03:00Z,2026-01-16T12:03:00Z,1.6,2026-01-16T12:03:00Z,0,16,1
Herzogstraße_merged_export,2026-01-16T10:20:00Z,2026-01-16T10:34:00Z,15.5,2026-01-16T10:20:00Z,14,155,15
Herzogstraße_merged_export,2026-01-16T05:50:00Z,2026-01-16T06:32:00Z,14.6,2026-01-16T05:50:00Z,42,146,26
Herzogstraße_merged_export,2026-01-16T04:21:00Z,2026-01-16T05:14:00Z,18.8,2026-01-16T04:21:00Z,53,188,54
Herzogstraße_merged_export,2026-01-15T14:47:00Z,2026-01-16T03:47:00Z,22.1,2026-01-15T17:31:00Z,780,0.135,781
Herzogstraße_merged_export,2026-01-15T12:31:00Z,2026-01-15T13:26:00Z,23.3,2026-01-15T12:31:00Z,55,233,56
Herzogstraße_merged_export,2026-01-15T11:53:00Z,2026-01-15T12:09:00Z,19.3,2026-01-15T12:05:00Z,16,1.595,8
