station,start_time,end_time,peak_level_cm,peak_time,duration_min,avg_gradient_cm_min,points_count,rain_yard_mm,rain_garden_mm,total_rain_mm,rain_verified
Wasserstraße_Springorum,2025-12-01T20:42:00Z,2025-12-01T20:42:00Z,1.7,2025/12/01 20:42:00,0,17,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-01T11:15:00Z,2025-12-01T11:15:00Z,1.6,2025/12/01 11:15:00,0,16,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-30T19:59:00Z,2025-11-30T19:59:00Z,1.6,2025/11/30 19:59:00,0,16,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-30T16:16:00Z,2025-11-30T16:28:00Z,1.8,2025/11/30 16:21:00,12,0.353,3,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-29T11:06:00Z,2025-11-29T11:06:00Z,2,2025/11/29 11:06:00,0,20,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-29T09:25:00Z,2025-11-29T09:25:00Z,2.7,2025/11/29 09:25:00,0,27,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-29T03:00:00Z,2025-11-29T03:05:00Z,4.7,2025/11/29 03:00:00,5,47,6,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-11-28T23:28:00Z,2025-11-28T23:33:00Z,3.6,2025/11/28 23:32:00,5,0.878,6,0,0.051000000000000004,0.051000000000000004,FALSE
Wasserstraße_Springorum,2025-11-28T06:57:00Z,2025-11-28T07:02:00Z,2.5,2025/11/28 07:02:00,5,0.49,5,0,0.255,0.255,FALSE
Wasserstraße_Springorum,2025-11-28T01:54:00Z,2025-11-28T01:54:00Z,4.9,2025/11/28 01:54:00,0,49,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-11-27T17:20:00Z,2025-11-27T17:20:00Z,1.6,2025/11/27 17:20:00,0,16,1,0,0.22100000000000003,0.22100000000000003,FALSE
Wasserstraße_Springorum,2025-11-27T14:25:00Z,2025-11-27T14:25:00Z,1.8,2025/11/27 14:25:00,0,18,1,0,0.15300000000000002,0.15300000000000002,FALSE
