timestamp,station,precipitation_mm
2026-09-11T00:20:00Z,Wasserbaulabor 2,0
2026-09-11T00:20:00Z,Herzogstraße,0
2026-09-11T00:25:00Z,An der Kost,0
2026-09-11T00:25:00Z,Wasserstraße,0
2026-09-11T00:25:00Z,Königsallee,0
2026-09-11T00:25:00Z,Wasserbaulabor 2,0
2026-09-11T00:25:00Z,Herzogstraße,0
2026-09-11T00:30:00Z,An der Kost,0
2026-09-11T00:30:00Z,Wasserstraße,0
2026-09-11T00:30:00Z,Königsallee,0
2026-09-11T00:30:00Z,Wasserbaulabor 2,0
2026-09-11T00:30:00Z,Herzogstraße,0
2026-09-11T00:35:00Z,An der Kost,0
2026-09-11T00:35:00Z,Wasserstraße,0
2026-09-11T00:35:00Z,Königsallee,0
2026-09-11T00:35:00Z,Wasserbaulabor 2,0
2026-09-11T00:35:00Z,Herzogstraße,0
2026-09-11T00:40:00Z,An der Kost,0
2026-09-11T00:40:00Z,Wasserstraße,0
2026-09-11T00:40:00Z,Königsallee,0
2026-09-11T00:40:00Z,Wasserbaulabor 2,0
2026-09-11T00:40:00Z,Herzogstraße,0
2026-09-11T00:45:00Z,An der Kost,0
2026-09-11T00:45:00Z,Wasserstraße,0
2026-09-11T00:45:00Z,Königsallee,0
2026-09-11T00:45:00Z,Wasserbaulabor 2,0
2026-09-11T00:45:00Z,Herzogstraße,0
2026-09-11T00:50:00Z,An der Kost,0
2026-09-11T00:50:00Z,Wasserstraße,0
2026-09-11T00:50:00Z,Königsallee,0
2026-09-11T00:50:00Z,Wasserbaulabor 2,0
2026-09-11T00:50:00Z,Herzogstraße,0
2026-09-11T00:55:00Z,An der Kost,0
2026-09-11T00:55:00Z,Wasserstraße,0
2026-09-11T00:55:00Z,Königsallee,0
2026-09-11T00:55:00Z,Wasserbaulabor 2,0
2026-09-11T00:55:00Z,Herzogstraße,0
2026-09-11T01:00:00Z,An der Kost,0
2026-09-11T01:00:00Z,Wasserstraße,0
2026-09-11T01:00:00Z,Königsallee,0
2026-09-11T01:00:00Z,Wasserbaulabor 2,0
2026-09-11T01:00:00Z,Herzogstraße,0
2026-09-11T01:05:00Z,An der Kost,0
2026-09-11T01:05:00Z,Wasserstraße,0
2026-09-11T01:05:00Z,Königsallee,0
2026-09-11T01:05:00Z,Wasserbaulabor 2,0
2026-09-11T01:05:00Z,Herzogstraße,0
2026-09-11T01:10:00Z,An der Kost,0
2026-09-11T01:10:00Z,Wasserstraße,0
2026-09-11T01:10:00Z,Königsallee,0
2026-09-11T01:10:00Z,Wasserbaulabor 2,0
2026-09-11T01:10:00Z,Herzogstraße,0
2026-09-11T01:15:00Z,An der Kost,0
2026-09-11T01:15:00Z,Wasserstraße,0
2026-09-11T01:15:00Z,Königsallee,0
2026-09-11T01:15:00Z,Wasserbaulabor 2,0
2026-09-11T01:15:00Z,Herzogstraße,0
2026-09-11T01:20:00Z,An der Kost,0
2026-09-11T01:20:00Z,Wasserstraße,0
2026-09-11T01:20:00Z,Königsallee,0
2026-09-11T01:20:00Z,Wasserbaulabor 2,0
2026-09-11T01:20:00Z,Herzogstraße,0
2026-09-11T01:25:00Z,An der Kost,0
2026-09-11T01:25:00Z,Wasserstraße,0
2026-09-11T01:25:00Z,Königsallee,0
2026-09-11T01:25:00Z,Wasserbaulabor 2,0
2026-09-11T01:25:00Z,Herzogstraße,0
2026-09-11T01:30:00Z,An der Kost,0
2026-09-11T01:30:00Z,Wasserstraße,0
2026-09-11T01:30:00Z,Königsallee,0
2026-09-11T01:30:00Z,Wasserbaulabor 2,0
2026-09-11T01:30:00Z,Herzogstraße,0
2026-09-11T01:35:00Z,An der Kost,0
2026-09-11T01:35:00Z,Wasserstraße,0
2026-09-11T01:35:00Z,Königsallee,0
2026-09-11T01:35:00Z,Wasserbaulabor 2,0
2026-09-11T01:35:00Z,Herzogstraße,0
2026-09-11T01:40:00Z,An der Kost,0
2026-09-11T01:40:00Z,Wasserstraße,0
2026-09-11T01:40:00Z,Königsallee,0
2026-09-11T01:40:00Z,Wasserbaulabor 2,0
2026-09-11T01:40:00Z,Herzogstraße,0
2026-09-11T01:45:00Z,An der Kost,0
2026-09-11T01:45:00Z,Wasserstraße,0
2026-09-11T01:45:00Z,Königsallee,0
2026-09-11T01:45:00Z,Wasserbaulabor 2,0
2026-09-11T01:45:00Z,Herzogstraße,0
2026-09-11T01:50:00Z,An der Kost,0
2026-09-11T01:50:00Z,Wasserstraße,0
2026-09-11T01:50:00Z,Königsallee,0
2026-09-11T01:50:00Z,Wasserbaulabor 2,0
2026-09-11T01:50:00Z,Herzogstraße,0
2026-09-11T01:55:00Z,An der Kost,0
2026-09-11T01:55:00Z,Wasserstraße,0
2026-09-11T01:55:00Z,Königsallee,0
2026-09-11T01:55:00Z,Wasserbaulabor 2,0
2026-09-11T01:55:00Z,Herzogstraße,0
2026-09-11T02:00:00Z,An der Kost,0
2026-09-11T02:00:00Z,Wasserstraße,0
2026-09-11T02:00:00Z,Königsallee,0
2026-09-11T02:00:00Z,Wasserbaulabor 2,0
2026-09-11T02:00:00Z,Herzogstraße,0
2026-09-11T02:05:00Z,An der Kost,0
2026-09-11T02:05:00Z,Wasserstraße,0
2026-09-11T02:05:00Z,Königsallee,0
2026-09-11T02:05:00Z,Wasserbaulabor 2,0
2026-09-11T02:05:00Z,Herzogstraße,0
2026-09-11T02:10:00Z,An der Kost,0
2026-09-11T02:10:00Z,Wasserstraße,0
2026-09-11T02:10:00Z,Königsallee,0
2026-09-11T02:10:00Z,Wasserbaulabor 2,0
2026-09-11T02:10:00Z,Herzogstraße,0
2026-09-11T02:15:00Z,An der Kost,0
2026-09-11T02:15:00Z,Wasserstraße,0
2026-09-11T02:15:00Z,Königsallee,0
2026-09-11T02:15:00Z,Wasserbaulabor 2,0
2026-09-11T02:15:00Z,Herzogstraße,0
2026-09-11T02:20:00Z,An der Kost,0
2026-09-11T02:20:00Z,Wasserstraße,0
2026-09-11T02:20:00Z,Königsallee,0
2026-09-11T02:20:00Z,Wasserbaulabor 2,0
2026-09-11T02:20:00Z,Herzogstraße,0
2026-09-11T02:25:00Z,An der Kost,0
2026-09-11T02:25:00Z,Wasserstraße,0
2026-09-11T02:25:00Z,Königsallee,0
2026-09-11T02:25:00Z,Wasserbaulabor 2,0
2026-09-11T02:25:00Z,Herzogstraße,0
2026-09-11T02:30:00Z,An der Kost,0
2026-09-11T02:30:00Z,Wasserstraße,0
