"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","points_count","total_precip_mm","max_intensity_mm_h","openmeteo_verified","dwd_risk_level","radolan_verified","level_reliable"
"Wasserstraße_Springorum","2025/10/04 13:06:00","2025/10/04 15:14:00",1.1,"2025/10/04 13:34:00",128,0.039,"Leichter Regen / Unterhalb DWD-Schwelle",45,0.62,1.68,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2025/10/05 02:21:00","2025/10/05 07:44:00",0.7,"2025/10/05 05:46:00",323,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",324,0.19,2.16,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/23 01:27:00","2025/10/23 02:02:00",0.5,"2025/10/23 01:32:00",35,0.098,"Leichter Regen / Unterhalb DWD-Schwelle",36,1.4,7.56,NA,NA,TRUE,NA
"An_der_Kost","2025/10/23 03:37:00","2025/10/23 03:47:00",0.5,"2025/10/23 03:40:00",10,0.161,"Leichter Regen / Unterhalb DWD-Schwelle",11,3.47,6.6,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/23 04:42:00","2025/10/23 04:49:00",0.6,"2025/10/23 04:45:00",7,0.194,"Leichter Regen / Unterhalb DWD-Schwelle",8,2.4,9.12,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/23 06:34:00","2025/10/23 06:46:00",0.5,"2025/10/23 06:41:00",12,0.07,"Leichter Regen / Unterhalb DWD-Schwelle",13,0.88,7.08,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/23 13:31:00","2025/10/23 13:52:00",0.5,"2025/10/23 13:49:00",21,0.028,"Leichter Regen / Unterhalb DWD-Schwelle",20,0.11,0.6,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/23 15:30:00","2025/10/24 05:29:00",3.2,"2025/10/23 20:07:00",839,0.012,"Regenereignis / Natürlich",840,1.26,1.92,NA,NA,TRUE,NA
"An_der_Kost","2025/10/23 16:51:00","2025/10/23 18:45:00",0.7,"2025/10/23 17:20:00",114,0.024,"Leichter Regen / Unterhalb DWD-Schwelle",115,0.52,2.4,NA,NA,TRUE,NA
"An_der_Kost","2025/10/23 16:56:00","2025/10/23 17:42:00",0.5,"2025/10/23 17:20:00",46,0.021,"Leichter Regen / Unterhalb DWD-Schwelle",47,0.52,2.4,NA,NA,TRUE,NA
"An_der_Kost","2025/10/23 16:58:00","2025/10/23 17:46:00",0.7,"2025/10/23 17:20:00",48,0.032,"Leichter Regen / Unterhalb DWD-Schwelle",49,0.52,2.4,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/23 17:04:00","2025/10/24 00:39:00",3.1,"2025/10/23 20:07:00",455,0.017,"Regenereignis / Natürlich",456,0.26,1.32,NA,NA,TRUE,NA
"An_der_Kost","2025/10/23 17:14:00","2025/10/23 17:36:00",0.7,"2025/10/23 17:20:00",22,0.115,"Leichter Regen / Unterhalb DWD-Schwelle",18,0.52,2.4,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2025/10/26 22:17:00","2025/10/27 02:42:00",0.6,"2025/10/27 00:32:00",265,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",266,0.71,0.96,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/27 00:28:00","2025/10/27 01:23:00",0.5,"2025/10/27 00:32:00",55,0.122,"Leichter Regen / Unterhalb DWD-Schwelle",56,0.51,0.96,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/27 11:14:00","2025/10/28 01:20:00",0.8,"2025/10/27 17:13:00",846,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",845,0.11,0.48,NA,NA,TRUE,NA
"An_der_Kost","2025/10/28 06:47:00","2025/10/28 10:21:00",0.5,"2025/10/28 08:36:00",214,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",213,0.47,1.2,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/29 21:40:00","2025/10/29 22:08:00",0.8,"2025/10/29 21:44:00",28,0.195,"Leichter Regen / Unterhalb DWD-Schwelle",29,0.28,0.48,NA,NA,TRUE,NA
"An_der_Kost","2025/11/01 13:12:00","2025/11/01 14:29:00",0.4,"2025/11/01 13:38:00",77,0.015,"Leichter Regen / Unterhalb DWD-Schwelle",78,0.93,3,NA,NA,TRUE,NA
"Wasserstraße_Springorum","2025/11/02 15:16:00","2025/11/02 23:09:00",6.1,"2025/11/02 18:13:00",473,0.034,"Regenereignis / Natürlich",474,3.14,7.44,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/11/10 21:25:00","2025/11/11 05:12:00",0.9,"2025/11/10 21:28:00",467,0.29,"Leichter Regen / Unterhalb DWD-Schwelle",468,1.26,8.4,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/11/15 00:23:00","2025/11/15 03:08:00",0.5,"2025/11/15 00:30:00",165,0.07,"Leichter Regen / Unterhalb DWD-Schwelle",166,0.92,2.04,NA,NA,TRUE,NA
"An_der_Kost","2025/11/15 00:51:00","2025/11/15 01:17:00",0.5,"2025/11/15 00:55:00",26,0.122,"Leichter Regen / Unterhalb DWD-Schwelle",27,1.72,3.36,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/11/16 16:21:00","2025/11/16 18:41:00",0.6,"2025/11/16 18:21:00",140,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",141,0.21,0.84,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/11/16 16:36:00","2025/11/16 18:41:00",0.6,"2025/11/16 18:21:00",125,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",126,0.21,0.84,NA,NA,TRUE,NA
"An_der_Kost","2025/11/17 13:29:00","2025/11/17 15:05:00",1.4,"2025/11/17 13:46:00",96,0.082,"Leichter Regen / Unterhalb DWD-Schwelle",95,2.04,8.76,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/11/18 16:22:00","2025/11/18 22:24:00",0.8,"2025/11/18 16:25:00",362,0.258,"Leichter Regen / Unterhalb DWD-Schwelle",363,0.13,0.84,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/11/19 16:03:00","2025/11/20 09:13:00",0.6,"2025/11/19 22:45:00",1030,0.001,"Leichter Regen / Unterhalb DWD-Schwelle",1029,3.37,3.6,NA,NA,TRUE,NA
"An_der_Kost","2025/11/19 19:42:00","2025/11/20 01:14:00",0.4,"2025/11/19 20:52:00",332,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",331,2.38,3.36,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/11/19 21:08:00","2025/11/20 02:29:00",0.5,"2025/11/19 22:45:00",321,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",322,3.37,3.6,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/11/19 23:40:00","2025/11/20 00:20:00",0.5,"2025/11/20 00:05:00",40,0.02,"Leichter Regen / Unterhalb DWD-Schwelle",41,1.85,3.6,NA,NA,TRUE,NA
"An_der_Kost","2025/11/20 04:00:00","2025/11/20 08:41:00",0.3,"2025/11/20 04:43:00",281,0.007,"Leichter Regen / Unterhalb DWD-Schwelle",282,0.68,1.2,NA,NA,TRUE,NA
