"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","points_count","total_precip_mm","max_intensity_mm_h","openmeteo_verified","dwd_risk_level","radolan_verified","level_reliable"
"An_der_Kost","2025/11/24 13:49:00","2025/11/24 15:13:00",0.6,"2025/11/24 15:08:00",84,0.008,"Leichter Regen / Unterhalb DWD-Schwelle",13,0.47,2.16,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"An_der_Kost","2025/11/24 17:27:00","2025/11/24 18:22:00",0.5,"2025/11/24 18:05:00",55,0.013,"Leichter Regen / Unterhalb DWD-Schwelle",56,0.03,0.36,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/11/28 07:58:00","2025/11/28 08:28:00",40,"2025/11/28 08:21:00",30,1.732,"Sturzflut-Ereignis",6,0.47,3.24,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2025/11/28 11:39:00","2025/11/28 11:48:00",0.5,"2025/11/28 11:45:00",9,0.082,"Leichter Regen / Unterhalb DWD-Schwelle",10,2.97,3.6,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/11/28 17:29:00","2025/11/28 17:59:00",0.6,"2025/11/28 17:49:00",30,0.03,"Leichter Regen / Unterhalb DWD-Schwelle",6,0.31,3,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2025/12/02 02:59:00","2025/12/02 13:42:00",0.7,"2025/12/02 06:18:00",643,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",642,6.77,4.92,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/12/02 06:15:00","2025/12/02 06:36:00",0.6,"2025/12/02 06:18:00",21,0.194,"Leichter Regen / Unterhalb DWD-Schwelle",8,1.39,2.4,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"An_der_Kost","2025/12/02 06:34:00","2025/12/02 09:47:00",0.3,"2025/12/02 07:10:00",193,0.008,"Leichter Regen / Unterhalb DWD-Schwelle",192,5.68,3.96,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/12/03 21:12:00","2025/12/03 22:59:00",0.9,"2025/12/03 22:10:00",107,0.015,"Leichter Regen / Unterhalb DWD-Schwelle",14,0.27,1.2,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2025/12/03 22:06:00","2025/12/04 09:04:00",1,"2025/12/03 22:10:00",658,0.244,"Leichter Regen / Unterhalb DWD-Schwelle",657,1.03,1.2,NA,NA,TRUE,NA
